TransactionID,ClientID,Date,Type,Ticker,Quantity,Price,Amount,Commission,NetAmount,AccountType,Status,Advisor
TXN000001,CLT0014,2024-03-22,Transfer Out,QQQ,343,223.29,-76587.52,0.70,-76587.52,Roth IRA,Settled,Advisor_1
TXN000002,CLT0017,2024-10-01,Sell,GLD,417,108.77,45358.07,5.84,45358.07,Taxable,Settled,Advisor_4
TXN000003,CLT0018,2024-07-23,Fee,N/A,0,0.00,-164.57,9.87,-164.57,IRA,Settled,Advisor_3
TXN000004,CLT0019,2024-08-13,Transfer Out,GLD,124,244.24,-30285.23,6.12,-30285.23,Roth IRA,Settled,Advisor_5
TXN000005,CLT0019,2024-08-06,Transfer Out,MSFT,457,23.43,-10706.94,9.18,-10706.94,401k,Settled,Advisor_4
TXN000006,CLT0012,2024-06-04,Fee,N/A,0,0.00,-193.91,1.74,-193.91,IRA,Settled,Advisor_5
TXN000007,CLT0011,2024-04-18,Buy,BND,42,112.97,-4744.75,1.84,-4753.74,IRA,Settled,Advisor_3
TXN000008,CLT0008,2024-09-21,Buy,MSFT,453,196.56,-89040.17,1.14,-89049.73,Taxable,Settled,Advisor_5
TXN000009,CLT0016,2024-02-11,Transfer Out,QQQ,189,34.40,-6500.77,6.36,-6500.77,IRA,Settled,Advisor_4
TXN000010,CLT0016,2024-01-25,Sell,AAPL,463,89.15,41274.88,6.41,41274.88,IRA,Settled,Advisor_2
TXN000011,CLT0005,2024-02-16,Dividend,BND,489,142.38,-69622.46,7.23,-69622.46,IRA,Settled,Advisor_2
TXN000012,CLT0009,2024-07-16,Transfer Out,GLD,207,332.49,-68825.28,0.03,-68825.28,Taxable,Settled,Advisor_1
TXN000013,CLT0001,2024-07-20,Sell,MSFT,389,210.34,81821.59,0.11,81821.59,Roth IRA,Settled,Advisor_3
TXN000014,CLT0019,2024-01-17,Buy,MSFT,31,395.62,-12264.22,8.62,-12264.89,401k,Settled,Advisor_2
TXN000015,CLT0004,2024-07-20,Dividend,GOOGL,354,158.44,-56088.38,2.44,-56088.38,Taxable,Settled,Advisor_2
TXN000016,CLT0009,2024-01-05,Transfer Out,SPY,160,253.87,-40618.98,6.09,-40618.98,IRA,Settled,Advisor_1
